,Parents' Occupation,Child's Nursery,Form of the family,Children,Housing condition,Finance standing,Social condition,Health condition,Final Evaluation
2510,2,0,1,0,1,1,1,0,0
2511,1,3,2,2,0,0,1,0,0
2512,0,3,2,0,0,1,0,0,0
2513,2,0,1,0,1,1,0,2,4
2514,2,1,2,2,0,0,0,1,4
2515,0,2,2,2,2,1,1,0,0
2516,1,1,1,2,2,1,0,1,4
2517,0,2,2,3,1,0,2,2,4
2518,2,0,1,1,2,0,2,2,4
2519,1,0,2,3,0,1,2,1,4
2520,2,1,0,0,1,0,0,0,0
2521,0,0,2,1,2,0,1,1,3
2522,0,3,2,3,2,1,2,2,3
2523,1,2,2,1,0,1,2,1,3
2524,0,3,0,0,0,1,2,1,3
2526,1,1,2,1,2,0,2,0,0
2527,0,4,0,3,1,0,2,1,3
2528,0,1,2,0,0,1,1,0,0
2529,1,0,0,3,0,0,2,2,4
2530,0,3,2,2,0,0,1,0,0
2531,0,4,2,2,2,0,1,0,0
2532,0,3,2,3,2,0,0,2,4
2533,1,0,2,3,2,1,2,2,4
2534,0,1,2,1,0,0,2,2,4
2535,1,0,0,2,0,0,2,0,0
2536,2,2,2,3,2,0,1,0,0
2537,1,0,0,1,1,1,0,1,4
2538,2,0,0,1,1,1,1,0,0
2539,1,0,2,1,1,1,1,1,3
2541,2,3,2,3,0,0,0,0,0
2542,1,3,2,2,2,1,0,0,0
2543,2,4,2,3,0,1,0,0,0
2544,2,2,0,1,2,1,0,2,3
2545,1,3,2,2,1,1,0,2,3
2546,2,0,2,1,0,0,0,0,0
2547,2,1,0,1,2,0,0,2,3
2548,1,4,1,1,1,1,1,1,3
2549,2,1,2,0,2,1,1,1,3
2550,1,2,1,0,0,1,2,2,4
2552,0,3,1,2,2,1,1,1,3
2553,2,3,2,3,2,1,0,2,3
2554,0,2,0,3,1,1,0,1,4
2555,1,4,0,1,2,0,2,2,3
2556,1,1,2,3,0,0,2,1,4
2557,0,0,2,3,0,0,0,1,4
2558,2,0,0,3,1,0,0,2,4
2559,2,4,2,0,0,1,1,0,0
2560,2,0,1,1,0,0,1,1,4
2561,0,4,0,3,2,1,2,1,3
2562,1,1,0,3,0,1,0,1,4
2563,0,2,2,0,0,0,0,2,4
2564,1,4,2,1,1,0,0,2,3
2565,0,1,2,1,0,0,2,1,3
2566,1,4,1,0,1,0,0,1,3
2567,1,1,2,2,2,0,2,1,3
2568,0,3,2,1,1,0,0,0,0
2569,2,4,1,3,1,1,1,1,3
2570,1,2,2,3,2,1,0,0,0
2571,1,3,1,1,1,1,2,0,0
2572,1,3,0,0,2,0,1,2,3
2573,0,2,0,2,1,0,1,2,4
2574,0,2,0,3,1,1,0,2,4
2575,0,1,0,0,2,0,1,0,0
2576,2,4,2,3,2,1,1,0,0
2577,0,3,0,2,2,1,1,0,0
2578,2,1,0,1,0,1,1,0,0
2579,0,1,2,2,1,1,2,2,4
2580,0,0,0,2,0,0,1,1,4
2581,2,4,2,0,1,0,1,0,0
2582,0,2,2,1,0,0,2,0,0
2583,0,4,2,1,2,1,0,0,0
2584,0,3,1,0,1,0,1,2,4
2585,0,2,0,2,0,1,0,1,4
2586,1,1,2,1,2,1,2,0,0
2587,2,3,1,3,1,1,2,2,3
2588,0,0,2,2,2,1,1,1,3
2589,0,1,2,1,0,1,2,2,4
2590,0,4,1,1,1,0,2,2,4
2591,1,1,0,2,1,1,0,1,4
2592,0,1,0,1,2,1,1,1,3
2594,2,1,0,1,1,0,1,0,0
2595,2,0,1,3,1,0,2,2,4
2596,0,0,1,1,2,1,2,2,4
2597,0,2,0,0,1,1,1,2,4
2598,0,2,1,1,1,1,1,2,4
2599,2,3,2,1,1,0,0,1,3
2600,0,4,0,2,1,0,0,0,0
2601,2,0,1,0,2,1,1,1,3
2602,0,2,2,0,1,1,1,2,4
2603,2,3,2,3,0,1,0,2,3
2604,0,0,2,0,0,0,1,0,0
2605,2,2,0,2,0,1,1,1,3
2606,1,1,2,1,0,1,2,0,0
2607,2,1,2,2,0,1,2,1,3
2609,1,4,0,0,2,0,0,0,0
2610,0,3,1,2,2,0,1,0,0
2611,0,1,2,1,0,0,2,0,0
2612,1,4,2,3,0,0,2,2,3
2613,1,0,1,1,1,1,2,1,4
2614,2,2,2,2,2,0,0,2,3
2615,2,1,2,1,1,1,2,2,3
2616,1,4,2,3,1,1,0,0,0
2617,2,1,2,3,2,1,1,0,0
2618,0,2,1,2,1,1,2,2,4
2619,2,2,1,1,0,0,1,2,3
2620,0,1,0,3,1,1,0,1,4
2621,2,0,2,0,2,0,0,1,4
2622,1,1,0,3,0,0,0,2,4
2623,2,2,2,1,1,0,0,2,3
2625,2,2,1,3,2,1,2,0,0
2626,0,0,2,2,2,0,2,1,3
2627,1,1,2,3,0,1,2,2,4
2628,2,2,2,2,2,0,0,1,3
2629,0,1,0,0,0,0,0,1,4
2630,1,4,1,1,2,0,1,1,3
2631,1,1,1,2,1,0,0,0,0
2632,0,0,2,1,0,0,2,1,4
2633,0,1,2,2,2,0,1,1,3
2634,0,4,2,0,2,0,0,1,4
2635,1,0,1,1,0,1,1,0,0
2636,2,3,0,0,0,0,0,2,3
2637,2,4,2,0,0,0,1,2,3
2638,2,1,1,2,0,0,1,1,3
2639,0,2,2,2,1,0,0,0,0
2640,0,0,1,0,2,1,1,0,0
2641,0,1,2,1,1,1,2,0,0
2642,0,2,0,0,1,0,1,0,0
2643,1,3,0,2,1,0,0,1,3
2644,1,0,2,3,1,1,2,2,4
2645,2,2,2,2,2,1,0,2,3
2646,0,1,2,0,2,1,2,0,0
2647,0,2,1,0,0,0,0,2,4
2648,2,0,0,1,2,0,1,0,0
2649,2,2,2,0,0,1,2,1,3
2651,1,0,1,3,2,0,1,0,0
2652,1,4,2,2,1,1,2,0,0
2653,1,4,2,1,1,0,1,0,0
2654,2,0,1,3,1,0,0,1,4
2655,2,3,1,1,2,0,0,1,3
2656,0,1,2,2,0,1,1,1,4
2657,1,0,2,3,1,1,2,1,4
2658,1,0,1,1,2,1,1,1,3
2659,2,2,2,0,2,1,1,0,0
2660,1,2,2,0,1,0,2,1,3
2661,2,0,2,0,2,0,1,1,4
2662,2,3,2,2,0,1,1,1,3
2663,1,1,0,1,0,0,0,0,0
2664,2,3,2,1,2,0,0,2,3
2665,2,1,2,2,0,0,0,1,4
2666,2,3,2,2,0,1,2,1,3
2667,1,4,0,2,0,1,0,1,3
2668,0,1,2,3,2,0,2,0,0
2669,0,1,0,2,0,0,2,0,0
2670,1,2,2,0,2,0,2,0,0
2671,1,2,2,2,0,1,2,0,0
2672,0,3,2,1,0,0,0,0,0
2673,0,1,0,1,1,0,0,0,0
2674,2,3,1,2,0,0,0,0,0
2675,1,2,2,3,1,1,0,2,4
2676,2,3,2,2,1,0,0,0,0
2677,1,1,2,3,0,1,2,0,0
2678,2,2,0,0,1,1,0,0,0
2679,0,3,1,2,2,0,0,0,0
2680,0,0,0,3,0,0,2,1,4
2681,0,1,1,3,0,1,1,1,4
2682,0,2,0,2,2,0,0,2,4
2683,0,2,2,1,2,1,2,1,3
2684,1,1,2,1,0,0,0,2,4
2685,0,3,2,0,0,0,2,0,0
2686,0,2,1,0,2,0,2,0,0
2687,0,2,2,1,1,1,2,2,4
2688,0,0,2,3,1,0,1,1,4
2689,1,0,1,1,1,0,0,1,4
2690,2,4,1,3,0,1,2,0,0
2691,0,0,2,3,0,0,1,2,4
2692,1,4,2,0,2,0,1,2,3
2693,0,3,0,2,1,0,2,1,3
2694,0,3,2,2,2,0,0,1,3
2695,2,0,0,1,2,0,1,1,3
2696,1,2,2,2,1,1,0,0,0
2698,2,0,2,2,2,1,1,2,4
2699,1,4,1,0,1,0,1,1,3
2701,1,0,0,1,1,0,2,1,3
2702,1,1,2,0,0,0,0,2,4
2703,2,2,1,2,2,1,0,2,3
2704,0,2,1,3,0,0,1,2,4
2705,1,0,0,3,1,1,2,0,0
2706,0,3,2,3,0,1,1,0,0
2707,0,3,0,3,0,1,2,1,3
2708,0,4,0,3,0,1,2,2,4
2709,2,1,0,0,1,1,2,1,3
2710,0,3,0,2,2,0,2,1,3
2711,0,4,2,2,2,1,2,2,3
2712,1,0,1,3,2,0,2,2,4
2713,2,2,2,2,2,1,1,1,2
2714,0,3,2,0,1,0,0,1,4
2715,0,3,1,2,2,1,2,1,3
2716,1,4,1,0,1,1,1,2,3
2717,0,3,2,1,0,1,2,2,4
2718,1,2,1,2,1,0,1,0,0
2719,2,4,2,0,2,0,2,1,3
2720,1,3,1,2,2,0,1,1,3
2721,0,4,1,3,1,0,1,2,4
2722,0,3,2,2,2,0,2,1,3
2723,2,1,0,3,1,1,0,1,4
2724,1,1,1,2,1,1,1,2,4
2725,2,3,2,3,0,1,0,1,3
2726,1,2,2,3,2,1,0,0,0
2727,2,4,0,1,1,0,0,2,3
2728,0,4,1,1,1,0,2,0,0
2729,2,1,2,1,2,0,1,1,3
2730,0,1,2,3,2,1,2,0,0
2731,1,3,2,2,0,1,2,2,3
2732,0,4,2,1,1,0,2,0,0
2733,0,2,2,3,1,0,1,1,4
2734,0,1,2,0,0,1,0,1,4
2735,0,4,2,3,2,1,1,0,0
2736,0,1,1,3,0,0,0,1,4
2737,0,2,0,0,2,1,1,1,3
2738,2,0,2,0,1,1,1,0,0
2739,2,0,0,0,0,0,0,0,0
2740,1,3,0,3,0,0,0,2,3
2741,1,4,0,1,1,1,2,1,2
2742,0,1,2,0,2,0,2,2,4
2743,1,4,0,2,0,1,0,2,3
2744,2,2,0,3,0,1,1,2,3
2745,1,0,0,2,0,0,1,1,4
2746,1,1,2,0,2,0,2,2,4
2747,0,4,2,0,2,0,2,0,0
2748,0,0,2,0,0,1,2,1,4
2749,2,1,0,1,0,0,2,0,0
2750,0,3,2,2,1,1,1,0,0
2751,0,2,0,3,2,1,0,0,0
2752,1,2,0,3,1,0,1,1,3
2753,1,4,1,0,2,0,1,1,3
2754,2,4,1,1,1,1,0,1,3
2755,0,0,2,0,0,1,1,1,4
2756,0,3,0,1,2,1,0,1,3
2757,0,1,0,0,0,1,1,0,0
2758,1,2,2,3,2,0,1,2,4
2759,2,4,1,0,1,0,2,0,0
2760,2,3,1,1,1,1,0,1,3
2762,1,1,2,1,0,1,2,2,4
2763,0,2,1,1,0,0,0,0,0
2764,2,1,0,0,1,0,0,1,4
2765,2,0,0,0,0,0,2,0,0
2766,2,4,2,0,0,1,2,2,3
2767,0,0,1,0,1,1,1,0,0
2768,0,2,0,2,0,1,0,2,4
2769,2,1,1,0,2,1,0,0,0
2770,1,4,2,3,1,1,0,2,3
2771,2,3,0,1,1,1,0,1,3
2772,2,4,2,0,0,1,0,0,0
2773,1,1,1,0,2,0,2,2,4
2774,2,0,2,0,0,1,2,0,0
2775,2,0,2,1,1,1,0,2,4
2776,1,0,0,0,0,1,1,1,4
2777,1,1,2,3,0,0,1,2,4
2778,2,1,2,3,2,0,2,1,3
2779,2,0,0,2,2,1,2,1,3
2780,1,3,0,0,1,0,1,1,3
2781,0,3,0,2,2,1,0,2,3
2782,2,0,1,1,0,1,0,2,4
2783,0,3,0,1,0,0,1,1,3
2784,0,1,1,1,0,0,2,0,0
2785,1,3,0,0,2,1,0,0,0
2786,2,3,1,3,1,1,1,2,3
2787,2,2,2,3,2,1,1,1,2
2788,1,1,0,2,0,1,2,0,0
2789,2,3,0,1,0,0,1,0,0
2790,2,3,2,1,1,0,2,2,3
2791,1,1,2,1,2,1,2,2,3
2792,2,3,0,3,2,0,2,2,3
2793,0,2,1,3,1,0,2,2,4
2794,1,4,2,1,0,1,1,1,2
2795,2,2,0,0,0,1,0,0,0
2796,2,4,1,3,0,0,2,2,3
2797,2,3,1,3,0,0,0,0,0
2798,0,3,2,2,1,0,1,0,0
2799,1,4,1,3,0,1,2,2,3
2800,1,1,2,3,2,0,1,0,0
2801,0,4,2,3,0,1,2,1,3
2802,2,0,1,3,2,0,2,0,0
2803,2,2,2,2,0,1,2,2,3
2804,2,2,2,0,1,0,1,2,3
2805,0,3,2,3,1,1,2,1,3
2806,0,2,2,0,2,0,0,0,0
2807,2,0,1,0,1,0,1,2,4
2809,0,3,0,1,1,0,0,1,3
2810,1,1,1,1,1,1,2,1,4
2811,2,4,0,0,0,1,2,1,3
2812,0,1,1,0,0,0,1,0,0
2813,1,2,2,3,0,0,2,0,0
2814,0,2,0,0,0,0,0,1,4
2815,2,3,2,0,1,1,2,1,3
2816,2,4,2,0,1,0,2,2,3
2817,0,1,0,3,1,1,1,1,4
2818,2,3,0,1,2,0,2,2,3
2819,2,2,2,3,1,0,0,0,0
2820,1,2,0,1,2,1,1,0,0
2821,2,2,1,1,0,0,0,0,0
2822,0,1,2,1,0,0,0,1,4
2823,0,2,1,2,0,1,0,0,0
2824,0,0,0,2,1,0,1,1,4
2825,0,0,0,2,1,0,2,1,4
2826,0,4,2,1,0,0,2,1,3
2827,2,2,2,0,0,1,1,1,3
2828,1,1,0,1,1,0,1,2,4
2829,1,0,1,3,2,0,2,0,0
2830,1,2,0,1,1,1,1,1,3
2831,1,3,0,0,2,1,2,0,0
2832,1,1,2,2,0,0,0,1,4
2833,2,2,0,3,0,1,1,0,0
2834,2,3,2,3,1,0,2,1,3
2835,2,0,2,2,0,1,0,0,0
2836,0,1,1,0,1,0,2,1,4
2837,1,0,2,2,1,1,2,0,0
2838,0,4,2,1,1,1,1,2,3
2839,2,4,2,3,2,0,1,2,3
2840,2,0,0,1,2,0,0,2,4
2841,2,4,0,2,0,0,1,0,0
2842,1,0,1,2,2,0,1,1,4
2843,1,2,1,2,2,1,2,1,3
2844,0,4,2,3,2,1,0,1,3
2845,2,2,1,1,1,1,2,0,0
2846,1,0,2,0,2,0,1,2,4
2847,2,0,1,3,0,1,0,0,0
2848,1,2,2,2,2,0,2,2,3
2849,2,2,0,2,1,0,2,0,0
2850,0,2,1,3,2,1,0,0,0
2851,1,2,2,1,0,1,2,2,3
2852,0,1,0,2,0,0,2,1,4
2853,2,3,2,1,1,1,0,0,0
2854,1,3,2,2,2,0,0,2,3
2855,2,0,2,2,1,0,0,0,0
2856,0,3,0,0,1,1,0,1,4
2857,0,0,2,0,1,0,0,0,0
2858,2,2,0,0,0,0,0,2,3
2859,0,0,2,1,0,0,1,0,0
2860,2,1,2,2,0,1,2,2,4
2861,2,4,2,3,0,1,1,0,0
2862,1,3,1,2,1,1,1,1,3
2863,2,1,2,2,2,0,1,2,3
2864,1,2,1,2,2,1,0,1,3
2865,0,0,1,1,2,1,1,2,4
2866,0,1,2,1,0,0,2,0,0
2867,1,2,2,2,0,0,1,0,0
2868,2,0,2,1,2,1,0,2,4
2869,1,2,0,0,2,1,0,0,0
2870,1,4,1,3,2,1,2,2,3
2871,2,4,2,3,0,0,1,1,3
2872,0,2,2,3,0,0,2,0,0
2873,1,2,2,1,0,1,1,1,3
2874,2,1,2,3,2,0,1,1,3
2875,0,4,2,1,1,0,0,1,3
2876,0,3,2,3,2,0,1,0,0
2877,1,0,0,2,0,0,1,2,4
2878,2,2,2,0,1,0,1,2,3
2879,1,1,1,1,2,1,1,0,0
2880,2,0,0,1,0,0,1,2,4
2881,1,4,2,2,0,0,2,0,0
2882,1,1,0,3,2,0,1,0,0
2883,1,4,2,1,1,1,2,1,2
2884,0,0,2,2,2,0,2,2,4
2885,0,0,0,3,0,1,1,2,4
2886,1,3,2,1,0,0,0,0,0
2887,2,3,1,2,0,1,1,1,3
2888,1,2,0,1,2,1,2,0,0
2889,2,4,2,2,2,0,0,0,0
2890,1,4,2,0,0,1,1,2,3
2891,1,3,1,0,2,0,2,0,0
2892,2,2,0,1,0,0,0,1,3
2893,0,4,0,2,2,1,2,0,0
2894,2,3,2,0,0,1,1,1,3
2895,1,2,2,2,1,1,2,1,3
2896,0,3,2,1,1,1,2,2,3
2897,1,1,2,2,1,0,0,1,4
2898,2,1,2,3,2,0,2,2,4
2899,0,4,1,0,0,1,2,0,0
2901,1,0,1,3,0,1,1,2,4
2902,2,4,1,2,2,1,2,2,3
2903,0,2,2,3,0,0,2,2,4
2904,2,1,0,0,2,1,1,2,3
2905,0,4,1,0,1,1,2,2,4
2906,1,3,1,3,2,1,2,1,2
2907,2,3,1,0,1,0,0,2,3
2908,2,4,1,0,1,0,0,2,3
2909,2,2,2,0,2,1,2,2,3
2910,0,4,2,2,1,1,2,2,3
2911,0,3,2,1,0,0,1,1,3
2912,1,3,1,0,1,1,1,0,0
2913,2,0,0,3,2,1,2,1,3
2914,2,3,2,2,1,0,1,1,2
2915,2,2,2,1,1,0,0,1,3
2916,2,4,2,3,0,0,0,1,3
2917,0,4,0,1,1,1,1,1,3
2918,2,4,1,0,0,0,2,2,3
2919,2,1,1,0,1,0,2,2,4
2920,1,2,0,1,0,0,1,0,0
2921,2,4,1,2,1,1,1,0,0
2922,0,3,0,0,2,0,1,2,4
2923,2,0,2,2,1,1,0,1,4
2924,0,1,1,3,2,0,2,1,4
2925,2,0,2,0,0,0,0,2,4
2926,0,3,2,3,0,0,2,2,4
2927,2,0,1,3,0,1,1,2,4
2928,2,1,1,2,2,1,2,2,3
2929,2,0,2,0,0,1,2,2,4
2930,0,1,2,3,2,1,1,0,0
2931,1,1,2,3,1,1,0,2,4
2932,0,2,1,1,2,0,1,1,4
2933,1,2,0,2,1,1,2,1,3
2934,1,1,2,0,0,1,2,0,0
2935,0,3,2,2,0,0,1,2,4
2937,2,4,0,1,1,0,0,0,0
2938,0,1,0,3,1,0,0,1,4
2939,2,4,1,0,1,0,1,0,0
2940,0,4,2,0,0,1,0,0,0
2941,0,0,1,0,1,0,2,2,4
2942,0,2,0,1,1,0,1,1,3
2943,0,4,2,0,0,1,0,2,4
2944,2,1,2,1,0,1,2,2,3
2945,1,0,2,1,1,0,1,0,0
2946,2,3,2,2,1,0,1,0,0
2947,2,4,1,0,0,1,0,2,3
2948,0,1,1,3,0,0,1,1,4
2949,1,2,1,0,0,1,2,1,3
2950,2,3,0,3,2,1,2,2,3
2951,0,1,2,1,2,1,1,2,3
2952,1,2,0,1,0,0,0,1,4
2953,2,2,2,3,0,1,1,1,3
2954,0,0,1,2,2,1,0,0,0
2955,1,1,0,2,2,1,1,2,4
2956,2,1,0,3,2,1,2,1,3
2957,0,3,2,2,0,0,2,0,0
2958,0,3,2,0,0,1,2,1,3
2959,1,0,2,2,1,0,1,2,4
2960,2,2,2,2,2,1,1,0,0
2961,0,2,2,2,0,1,0,1,4
2962,0,2,2,2,0,1,2,2,4
2963,0,1,0,2,0,1,1,2,4
2964,0,1,2,3,2,0,2,1,4
2965,1,3,2,0,1,0,2,0,0
2966,1,1,2,3,1,1,1,0,0
2967,2,4,2,0,0,1,1,1,3
2968,0,2,2,2,1,0,2,1,3
2969,1,1,0,0,2,1,1,2,4
2970,1,0,0,0,2,0,0,0,0
2971,1,0,2,2,2,0,1,2,4
2972,1,1,2,0,2,1,2,1,3
2973,1,4,1,3,2,0,0,1,3
2974,0,4,2,3,1,1,2,2,4
2975,0,4,2,0,0,0,2,0,0
2976,0,0,0,0,2,1,2,1,3
2977,2,0,2,2,2,0,0,2,4
2978,1,2,1,3,0,1,2,2,4
2979,1,4,0,1,2,1,1,0,0
2980,0,1,2,1,2,1,0,2,4
2981,0,4,1,3,0,0,0,1,4
2982,1,1,0,1,1,0,0,2,4
2983,0,1,1,1,1,1,2,1,4
2984,1,0,2,1,1,1,1,1,3
2985,2,1,2,1,2,0,2,0,0
2986,1,4,2,2,2,1,2,2,3
2987,0,1,2,3,0,0,1,1,4
2988,2,0,2,1,1,1,0,0,0
2989,0,1,2,2,1,1,0,1,4
2990,0,2,2,1,0,1,1,2,4
2991,0,2,0,3,2,0,2,2,4
2992,0,4,1,2,2,0,1,0,0
2993,0,3,0,2,1,1,2,0,0
2994,2,4,1,2,1,1,2,2,3
2995,0,2,2,3,1,0,2,1,4
2996,2,2,2,3,1,0,2,2,3
2997,1,0,0,2,2,1,2,1,3
2998,1,0,2,0,0,1,2,2,4
2999,1,0,1,3,0,1,0,0,0
3000,2,4,1,3,1,1,2,2,3
3001,2,2,1,2,2,0,1,0,0
3002,0,1,2,2,2,1,1,1,3
3003,0,4,2,2,1,0,2,2,3
3005,2,1,2,3,2,1,1,1,3
3006,2,2,0,3,2,1,1,1,2
3007,2,0,1,0,0,1,1,2,4
3008,1,3,2,1,0,0,2,2,3
3009,0,3,1,0,0,0,0,0,0
3010,0,3,0,1,0,0,0,1,4
3011,0,0,2,2,0,0,1,0,0
3012,2,1,2,3,0,0,1,0,0
3013,0,2,1,3,0,1,1,0,0
3014,1,3,2,3,1,1,1,1,3
3015,0,2,0,1,0,1,2,2,4
3016,1,3,0,0,2,0,1,0,0
3017,0,0,2,2,1,0,2,0,0
3019,1,4,0,3,1,1,2,1,3
3020,2,2,1,1,0,0,2,2,3
3021,1,1,2,0,0,0,0,1,4
3022,1,3,2,1,0,0,2,0,0
3023,1,3,2,2,0,0,0,2,3
3024,2,0,1,0,1,1,2,0,0
3025,0,3,0,3,1,1,2,0,0
3026,0,1,2,0,1,0,0,1,4
3027,1,0,0,0,0,0,2,1,4
3028,2,1,2,0,0,0,0,1,4
3029,0,2,1,3,0,0,1,0,0
3030,2,3,2,0,2,1,0,2,3
3031,2,3,2,3,1,1,2,0,0
3032,1,1,1,0,0,1,1,2,4
3033,0,1,1,3,1,0,0,0,0
3034,2,3,2,2,1,1,0,2,3
3035,2,2,2,1,1,0,2,1,2
3036,2,4,1,3,0,0,0,0,0
3038,2,1,2,0,1,1,2,2,4
3039,1,1,2,2,1,1,1,1,3
3040,0,3,1,1,0,1,1,2,4
3041,1,2,0,1,2,0,0,0,0
3042,0,2,0,0,2,1,2,1,3
3046,2,3,2,3,2,1,0,2,3
3047,0,1,1,0,0,1,1,0,0
3048,0,1,1,1,2,0,0,1,4
3049,2,4,2,1,0,1,2,1,2
3050,2,4,1,1,0,0,1,0,0
3051,0,0,0,3,2,1,0,0,0
3052,0,2,2,1,0,0,0,2,4
3053,0,4,1,2,2,0,2,1,3
3054,2,2,2,0,1,1,1,1,3
3055,0,4,2,3,1,1,2,1,3
3056,2,4,1,3,1,0,2,1,3
3057,1,2,2,2,2,0,1,1,3
3058,1,2,0,2,1,0,1,2,4
3059,0,0,2,0,0,1,0,1,4
3060,2,2,2,3,1,0,1,0,0
3061,2,3,0,3,0,0,0,2,3
3062,1,2,0,1,0,0,2,2,4
3063,1,3,1,2,0,1,0,1,3
3064,2,2,2,3,0,0,1,2,3
3065,1,1,0,1,1,1,0,1,4
3066,2,4,1,1,2,1,1,0,0
3067,2,1,2,1,0,1,2,1,3
3068,2,4,1,2,2,0,2,1,3
3069,1,4,0,3,1,0,1,0,0
3070,0,0,2,2,2,0,1,0,0
3071,2,0,2,3,1,1,0,2,4
3072,1,0,2,2,2,0,1,0,0
3073,1,1,2,0,2,0,2,1,4
3074,0,4,2,1,0,0,2,0,0
3075,0,0,2,2,0,0,1,1,4
3076,0,3,2,1,0,0,2,1,3
3077,0,1,2,0,0,0,0,2,4
3078,0,0,1,1,2,0,1,0,0
3079,0,4,2,0,1,0,2,2,4
3080,0,0,1,3,1,1,1,1,4
3082,0,3,2,1,1,1,2,0,0
3083,0,2,0,2,1,0,2,2,4
3084,1,3,2,3,0,1,2,0,0
3085,1,4,1,0,2,0,1,0,0
3086,0,0,1,1,2,0,0,0,0
3087,2,0,0,2,1,0,1,1,4
3088,2,0,0,0,0,1,1,1,4
3089,2,0,2,2,2,0,2,1,3
3090,0,1,0,1,1,0,1,2,4
3091,1,3,2,3,1,1,0,0,0
3092,1,1,1,3,0,0,2,1,4
3093,1,2,2,0,0,0,0,1,4
3094,1,3,1,2,1,0,0,2,3
3095,1,0,2,1,1,0,2,0,0
3096,2,4,2,3,2,0,1,1,3
3097,1,4,2,2,2,0,2,0,0
3098,0,3,0,2,1,0,1,1,3
3099,2,2,2,1,0,0,1,2,3
3100,2,3,1,3,1,1,0,0,0
3101,2,1,1,3,0,1,2,0,0
3102,2,0,2,1,1,1,2,0,0
3103,2,1,2,0,1,1,0,2,4
3104,0,2,1,3,1,1,1,1,4
3105,0,1,1,0,1,0,2,0,0
3106,2,2,2,3,0,0,2,0,0
3107,0,1,2,3,2,0,1,0,0
3108,2,2,0,1,0,1,1,2,3
3109,2,4,2,0,2,0,1,0,0
3110,2,1,1,2,1,0,0,1,4
3111,2,0,0,2,1,0,1,0,0
3112,0,0,1,2,0,0,2,2,4
3113,2,1,2,0,1,0,1,0,0
3114,0,4,0,2,1,1,2,2,4
3115,0,2,0,3,1,0,1,2,4
3116,0,1,1,1,0,0,1,2,4
3118,2,1,2,1,0,0,1,1,3
3119,0,3,0,0,0,1,1,2,4
3120,1,0,1,2,1,0,2,0,0
3121,0,2,1,1,0,0,2,1,4
3122,0,2,2,2,1,0,1,0,0
3123,1,3,1,1,0,0,2,2,3
3124,1,0,1,1,0,0,0,1,4
3125,1,1,2,1,0,1,0,0,0
3126,0,0,1,2,0,1,2,2,4
3127,1,3,2,1,0,0,2,1,3
3128,1,0,1,0,1,1,0,1,4
3129,1,2,2,3,0,0,0,2,4
3130,1,3,2,2,1,0,0,0,0
3131,2,1,2,2,2,0,2,0,0
3133,1,4,1,3,0,0,2,0,0
3134,0,2,2,0,2,1,0,2,4
3135,2,2,2,0,2,1,2,0,0
3136,2,2,1,0,1,0,2,1,3
3137,0,2,2,0,0,1,1,2,4
3138,1,1,0,0,1,1,2,0,0
3139,0,1,0,1,1,0,0,1,4
3140,2,3,1,0,0,0,1,2,3
3141,0,2,1,1,2,1,2,0,0
3142,0,3,2,2,2,1,2,1,3
3143,2,0,2,1,0,0,0,1,4
3144,2,0,1,0,1,1,2,2,4
3145,1,1,1,2,2,1,1,0,0
3148,1,3,2,3,2,0,0,1,3
3149,2,2,2,3,0,1,2,2,3
3150,1,2,2,3,1,0,2,1,3
3151,2,3,2,1,2,1,1,0,0
3152,0,2,2,2,1,1,1,0,0
3153,1,3,2,1,2,0,2,0,0
3154,1,2,2,2,1,0,1,2,3
3155,1,0,0,0,2,1,1,0,0
3156,2,3,0,1,1,1,0,0,0
3158,0,0,1,1,0,0,0,2,4
3159,2,4,2,3,1,0,2,0,0
3160,0,3,1,0,2,0,1,0,0
3161,2,1,1,1,2,0,1,2,4
3162,0,2,0,0,0,1,0,0,0
3163,0,1,0,2,1,1,2,1,4
3164,2,1,2,3,1,1,0,1,4
3165,0,1,1,3,0,0,2,2,4
3166,2,3,2,1,1,0,2,0,0
3167,2,3,2,1,2,1,0,2,3
3168,1,3,2,1,1,0,0,0,0
3169,1,4,2,1,2,1,2,1,2
3170,1,1,2,2,1,0,1,1,3
3171,1,4,2,0,2,0,0,2,3
3172,2,3,2,2,2,0,1,2,3
3173,0,1,2,3,0,1,2,0,0
3174,1,2,0,2,0,1,2,0,0
3176,2,2,2,2,2,1,2,1,2
3177,2,3,2,3,2,0,2,1,3
3178,0,0,2,0,0,0,0,1,4
3179,2,3,2,1,1,0,1,0,0
3180,0,3,2,3,0,1,2,2,4
3181,1,1,2,1,0,1,1,2,4
3182,1,2,2,2,2,0,2,1,3
3183,1,4,0,0,1,1,0,1,3
3184,2,2,2,0,1,1,1,2,3
3185,1,0,2,3,0,0,2,2,4
3186,1,1,1,1,0,0,2,1,4
3187,0,4,2,1,2,0,1,1,3
3188,0,1,0,2,2,0,2,0,0
3189,2,3,0,0,0,1,2,0,0
3190,0,3,2,1,1,0,2,0,0
3191,1,3,0,3,1,0,0,2,3
3192,2,4,0,3,1,0,2,1,3
3193,2,1,2,2,2,1,2,2,3
3194,2,2,1,2,0,1,2,1,3
3195,2,2,2,1,1,1,0,2,3
3196,0,2,1,2,0,0,1,2,4
3197,0,1,1,2,0,1,2,1,4
3198,1,0,1,0,0,1,2,0,0
